scalar,RGB_r,RGB_g,RGB_b
0.6790606654,0.6579234377,0.6374226194,0.6178078522
0.6810176125,0.6598698808,0.6392496273,0.6194846222
0.6829745597,0.6618174190,0.6410775883,0.6211621565
0.6849315068,0.6637660503,0.6429065011,0.6228404539
0.6868884540,0.6657157733,0.6447363641,0.6245195133
0.6888454012,0.6676665861,0.6465671757,0.6261993335
0.6908023483,0.6696184870,0.6483989346,0.6278799133
0.6927592955,0.6715714744,0.6502316391,0.6295612517
0.6947162427,0.6735255466,0.6520652879,0.6312433474
0.6966731898,0.6754807020,0.6538998794,0.6329261993
0.6986301370,0.6774369388,0.6557354122,0.6346098062
0.7005870841,0.6793942553,0.6575718847,0.6362941671
0.7025440313,0.6813526500,0.6594092956,0.6379792808
0.7045009785,0.6833121212,0.6612476433,0.6396651461
0.7064579256,0.6852726672,0.6630869264,0.6413517620
0.7084148728,0.6872342865,0.6649271435,0.6430391272
0.7103718200,0.6891969772,0.6667682932,0.6447272408
0.7123287671,0.6911607380,0.6686103739,0.6464161015
0.7142857143,0.6931255670,0.6704533842,0.6481057083
0.7162426614,0.6950914628,0.6722973227,0.6497960600
0.7181996086,0.6970584236,0.6741421881,0.6514871555
0.7201565558,0.6990264480,0.6759879788,0.6531789939
0.7221135029,0.7009955342,0.6778346935,0.6548715738
0.7240704501,0.7029656808,0.6796823307,0.6565648943
0.7260273973,0.7049368860,0.6815308891,0.6582589543
0.7279843444,0.7069091484,0.6833803672,0.6599537526
0.7299412916,0.7088824663,0.6852307637,0.6616492882
0.7318982387,0.7108568383,0.6870820771,0.6633455601
0.7338551859,0.7128322626,0.6889343061,0.6650425671
0.7358121331,0.7148087379,0.6907874494,0.6667403081
0.7377690802,0.7167862624,0.6926415054,0.6684387822
0.7397260274,0.7187648347,0.6944964730,0.6701379881
0.7416829746,0.7207444532,0.6963523506,0.6718379250
0.7436399217,0.7227251164,0.6982091369,0.6735385916
0.7455968689,0.7247068228,0.7000668307,0.6752399870
0.7475538160,0.7266895708,0.7019254305,0.6769421101
0.7495107632,0.7286733589,0.7037849349,0.6786449599
0.7514677104,0.7306581855,0.7056453427,0.6803485353
0.7534246575,0.7326440493,0.7075066525,0.6820528353
0.7553816047,0.7346309486,0.7093688630,0.6837578587
0.7573385519,0.7366188820,0.7112319729,0.6854636047
0.7592954990,0.7386078480,0.7130959807,0.6871700722
0.7612524462,0.7405978450,0.7149608853,0.6888772601
0.7632093933,0.7425888717,0.7168266852,0.6905851674
0.7651663405,0.7445809264,0.7186933793,0.6922937931
0.7671232877,0.7465740078,0.7205609661,0.6940031362
0.7690802348,0.7485681144,0.7224294444,0.6957131956
0.7710371820,0.7505632447,0.7242988129,0.6974239704
0.7729941292,0.7525593973,0.7261690703,0.6991354595
0.7749510763,0.7545565706,0.7280402153,0.7008476620
0.7769080235,0.7565547632,0.7299122466,0.7025605768
0.7788649706,0.7585539738,0.7317851629,0.7042742029
0.7808219178,0.7605542008,0.7336589630,0.7059885394
0.7827788650,0.7625554429,0.7355336456,0.7077035852
0.7847358121,0.7645576985,0.7374092095,0.7094193394
0.7866927593,0.7665609663,0.7392856533,0.7111358009
0.7886497065,0.7685652448,0.7411629758,0.7128529688
